,code,name,opening_year,latitude,longitude,avg_price
0,NS1,Jurong East,1990,1.33329506563598,103.742153884191,28.25848569681761
1,NS2,Bukit Batok,1990,1.34903534800639,103.749526027989,28.387433418099718
2,NS3,Bukit Gombak,1990,1.35866272149921,103.751913321513,28.46990912888972
3,NS4,Choa Chu Kang,1990,1.38536316540225,103.744370779756,23.223070034282003
4,NS5,Yew Tee,1996,1.39747594171731,103.747418249132,22.06794916844361
5,NS7,Kranji,1996,1.4250690629411,103.762099449562,24.87136067774093
6,NS8,Marsiling,1996,1.43262603485889,103.774051197031,25.275396197135738
7,NS9,Woodlands,1996,1.43605761708128,103.787938777173,23.389013116821324
8,NS10,Admiralty,1996,1.44055609916205,103.800916952025,23.345299029898936
9,NS11,Sembawang,1996,1.44902668521092,103.820139486468,24.807722654868265
10,NS12,Canberra,2019,1.44307664075699,103.829702590959,26.84949159180928
11,NS13,Yishun,1988,1.4295887655538,103.835050382253,27.22190880439358
12,NS14,Khatib,1988,1.41758906054002,103.833061043125,27.503820506221608
13,NS15,Yio Chu Kang,1987,1.38168259989517,103.844991053696,30.385433383354275
14,NS16,Ang Mo Kio,1987,1.36993284962264,103.849558091776,30.22186968288861
15,NS17,Bishan,1987,1.35101889777844,103.850057208608,30.985862833547476
16,NS18,Braddell,1987,1.34010520696434,103.846755921048,32.12013381535244
17,NS19,Toa Payoh,1987,1.33259672794159,103.847577286075,32.19220524125419
18,NS20,Novena,1987,1.32021100706836,103.843656761867,32.62454813816664
19,NS21,Newton,1987,1.31257031730604,103.838031555215,34.77738224029212
20,NS22,Orchard,1987,1.30304426265194,103.831375000068,34.94533607635336
21,NS23,Somerset,1987,1.30025287710542,103.839158336848,38.20890120019498
22,NS24,Dhoby Ghaut,1987,1.29868872290409,103.846179896647,37.76663125302214
23,NS25,City Hall,1987,1.29298990700923,103.852542630339,39.964633245309074
24,NS26,Raffles Place,1987,1.28393326234538,103.851463066212,42.07024918832076
25,NS27,Marina Bay,1989,1.27631114381584,103.854604975361,43.326345985683545
26,NS28,Marina South Pier,2014,1.27102703612006,103.862447515736,
27,EW1,Pasir Ris,1989,1.37300805046319,103.949265083922,22.95895906842656
28,EW2,Tampines,1989,1.35515041120473,103.943009883131,27.59724428748318
29,EW3,Simei,1989,1.34316035195426,103.953347548212,26.765143507157916
30,EW4,Tanah Merah,1989,1.32701524290982,103.946155931882,29.903353566527844
31,EW5,Bedok,1989,1.32398845004421,103.930032476715,30.419459169178797
32,EW6,Kembangan,1989,1.32104702761608,103.91292554527,28.71459784399291
33,EW7,Eunos,1989,1.31978354916088,103.903225807255,29.711352886156757
34,EW8,Paya Lebar,1989,1.3172473854035,103.892260753884,33.34383898358084
35,EW9,Aljunied,1989,1.31644118834754,103.882964033576,33.44531832877515
36,EW10,Kallang,1989,1.31148890998818,103.871386541754,33.882580355115756
37,EW11,Lavender,1989,1.30739187893137,103.862784610013,35.42935641720006
38,EW12,Bugis,1989,1.30026468984101,103.855614760658,36.77788860487225
39,EW13,City Hall,1987,1.29298990700923,103.852542630339,39.964633245309074
40,EW14,Raffles Place,1987,1.28393326234538,103.851463066212,42.07024918832076
41,EW15,Tanjong Pagar,1987,1.27660857408421,103.846006679223,41.82939165927414
42,EW16,Outram Park,1987,1.2802415328084,103.840052100136,38.65712023583109
43,EW17,Tiong Bahru,1988,1.28619457890544,103.826998939732,35.716660860129046
44,EW18,Redhill,1988,1.28963453412887,103.81674097205,35.549709165507615
45,EW19,Queenstown,1988,1.29455085184931,103.806077155982,35.84157535384442
46,EW20,Commonwealth,1988,1.31511625277378,103.765191452888,33.17755565723157
47,EW21,Buona Vista,1988,1.30627534823257,103.790363200126,37.52949198105813
48,EW22,Dover,2001,1.31139153717332,103.778656381761,33.924001266950484
49,EW23,Clementi,1988,1.31511625277378,103.765191452888,33.17755565723157
50,EW24,Jurong East,1988,1.33329506563598,103.742153884191,28.25848569681761
51,EW25,Chinese Garden,1988,1.34224494823931,103.732766601621,27.97096789924484
52,EW26,Lakeside,1988,1.34425911493819,103.720949087456,27.487733152516405
53,EW27,Boon Lay,1990,1.33860405469845,103.706064622772,26.834933970324297
54,EW28,Pioneer,2009,1.33759355182117,103.697418455881,25.64439660171116
55,EW29,Joo Koon,2009,1.32769436492908,103.678085068438,
56,EW30,Gul Circle,2017,1.31947090075208,103.660530461345,
57,EW31,Tuas Crescent,2017,1.32102695598684,103.649078235627,
58,EW32,Tuas West Road,2017,1.32998504653102,103.639616648771,
59,EW33,Tuas Link,2017,1.34088242451105,103.636991425128,
60,CG1,Expo,2001,1.33538252614956,103.962374747451,26.19432068350374
61,CG2,Changi Airport,2002,1.35747897447692,103.98788356959,
62,NE1,HarbourFront,2003,1.26531139858465,103.820557316696,33.38883166153505
63,NE3,Outram Park,2003,1.2802415328084,103.840052100136,38.65712023583109
64,NE4,Chinatown,2003,1.2839640518753,103.843141945391,40.47274686295167
65,NE5,Clarke Quay,2003,1.28745211415803,103.846119192727,41.6686325376055
66,NE6,Dhoby Ghaut,2003,1.29868872290409,103.846179896647,37.76663125302214
67,NE7,Little India,2003,1.30724381608438,103.849841614124,36.27916182508718
68,NE8,Farrer Park,2003,1.31314029963164,103.854754721344,34.53806223355807
69,NE9,Boon Keng,2003,1.3199433920787,103.861746337392,32.9618890814593
70,NE10,Potong Pasir,2003,1.33137808528793,103.869363547741,31.695616029746482
71,NE11,Woodleigh,2011,1.33982824592182,103.87096088798,30.517401650143558
72,NE12,Serangoon,2003,1.3510482896351,103.871070417199,31.01386749730282
73,NE13,Kovan,2003,1.35990191952976,103.884494725197,27.856834039925623
74,NE14,Hougang,2003,1.37033472429161,103.892261757937,26.91526489411915
75,NE15,Buangkok,2006,1.38369417199994,103.893049981318,25.5672104461815
76,NE16,Sengkang,2003,1.39174613283898,103.895508171163,25.764440710051336
77,NE17,Punggol,2003,1.40439782602064,103.902044299842,27.304132716113454
78,CC1,Dhoby Ghaut,2010,1.29868872290409,103.846179896647,37.76663125302214
79,CC2,Bras Basah,2010,1.2967526221395,103.850918752694,37.768726186131474
80,CC3,Esplanade,2010,1.29309408587041,103.855583933723,38.692484077491685
81,CC4,Promenade,2010,1.29307389602149,103.861067235865,38.27976166140885
82,CC5,Nicoll Highway,2010,1.29976684675139,103.86363696572,36.96991935182117
83,CC6,Stadium,2010,1.3028124684707,103.875337711089,33.42112654732651
84,CC7,Mountbatten,2010,1.30615406128913,103.883045148696,32.555720599934546
85,CC8,Dakota,2010,1.30843144331463,103.889268208422,32.63089720939485
86,CC9,Paya Lebar,2010,1.3172473854035,103.892260753884,33.34383898358084
87,CC10,MacPherson,2010,1.32683963232487,103.890007860464,32.858203413530404
88,CC11,Tai Seng,2010,1.33514564170352,103.888336109832,33.39358925491926
89,CC12,Bartley,2009,1.3424454382925,103.880197087117,28.737132215578608
90,CC13,Serangoon,2009,1.3510482896351,103.871070417199,31.01386749730282
91,CC14,Lorong Chuan,2009,1.35153128621585,103.864812169514,31.12763793502184
92,CC15,Bishan,2009,1.35101889777844,103.850057208608,30.985862833547476
93,CC16,Marymount,2009,1.34870726290354,103.839423132604,31.651790296932152
94,CC17,Caldecott,2011,1.33734722320212,103.839544077561,33.43662982108487
95,CC19,Botanic Gardens,2011,1.32238699517166,103.815385463093,
96,CC20,Farrer Road,2011,1.31743915158967,103.807379214161,40.369783164220976
97,CC21,Holland Village,2011,1.31226422601049,103.796470444998,38.37165675780003
98,CC22,Buona Vista,2011,1.30627534823257,103.790363200126,37.52949198105813
99,CC23,one-north,2011,1.29975987493555,103.78745750525,36.80687311109868
100,CC24,Kent Ridge,2011,1.29356390505771,103.784569394529,33.5949558943518
101,CC25,Haw Par Villa,2011,1.28195688684898,103.781988990137,28.240993864285276
102,CC26,Pasir Panjang,2011,1.27621352233766,103.791350313288,28.240993864285276
103,CC27,Labrador Park,2011,1.27236838626952,103.803416232089,33.72678907610889
104,CC28,Telok Blangah,2011,1.27070647772509,103.809761611219,34.00399939081708
105,CC29,HarbourFront,2011,1.26531139858465,103.820557316696,33.38883166153505
106,CE1,Bayfront,2012,1.28187378851834,103.859079765146,47.42063492063492
107,CE2,Marina Bay,2012,1.27631114381584,103.854604975361,43.326345985683545
108,DT1,Bukit Panjang,2015,1.37956121236613,103.761188866252,24.80345624790736
109,DT2,Cashew,2015,1.36984601365741,103.764315051619,24.674923221136986
110,DT3,Hillview,2015,1.36288845715168,103.767780907707,23.563053062580803
111,DT5,Beauty World,2015,1.34090149001429,103.775746717778,26.507188586429685
