,name,latitude,longitude,avg_price
0,100 AM,1.27458821795426,103.84347073661,41.49775388336571
1,313@Somerset,1.30138510214714,103.837684350436,
2,Aperia,1.31086672816827,103.863929573292,35.214088164980936
3,Balestier Hill Shopping Centre,1.32559594839311,103.842571612968,32.20836997256532
4,Bugis Cube,1.2981408343975,103.855635339249,37.74941103520368
5,Bugis Junction,1.29911287475873,103.855411173758,37.65916805728462
6,Bugis+,1.29960950187876,103.853118508952,36.93195216473716
7,Capitol Piazza,1.29307884763132,103.851261982149,39.59191977136207
8,Cathay Cineleisure Orchard,1.30152101873533,103.836429655016,
9,Clarke Quay Central,1.2890359251805945,103.84668489906188,42.097836972822876
10,The Centrepoint,1.30145045537088,103.840034074858,
11,City Square Mall,1.31139349427341,103.856487111691,35.55644244472152
12,City Gate Mall,1.302207994425911,103.86254538296342,36.16717516645834
13,CityLink Mall,1.2927777312893,103.854173501417,39.59191977136207
14,Duo,1.29916295967817,103.857859536947,37.20585066053491
15,Far East Plaza,1.30730468891062,103.833818438639,
16,Funan,1.29161270605129,103.849478850252,41.79803056550706
17,Great World City,1.2934759620704,103.831975865363,39.125967745711506
18,HDB Hub,1.33201387005935,103.84984949662,32.108219660570995
19,Holland Village Shopping Mall,1.3101846266092043,103.79532002681438,38.493760233365855
20,ION Orchard,1.30397974144505,103.832032328465,
21,Junction 8,1.35031600039774,103.848496645294,30.334701702176506
22,Knightsbridge,1.30310526043246,103.836202006497,
23,Liat Towers,1.30508722710852,103.830722581168,
24,Lucky Plaza,1.30448579105197,103.833941935117,
25,Marina Bay Sands,1.28258336683978,103.860220223356,
26,The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297,
27,Marina Bay Link Mall,1.28003113385646,103.854284863268,
28,Marina Square,1.2791142892786,103.851258617266,44.71493212669683
29,Millenia Walk,1.29267926922552,103.860302888543,39.05917134037651
30,Mustafa Shopping Centre,1.3099568726457462,103.85547874063452,36.12599281641263
31,Ngee Ann City,1.3022727300848,103.834899517575,
32,Orchard Central,1.30083890839245,103.839434733899,
33,Orchard Gateway,1.30160116957544,103.838868886519,
34,Orchard Plaza,1.30502562565776,103.832957478209,
35,Midpoint Orchard,1.30177313264942,103.838659652851,
36,Palais Renaissance,1.30665484543191,103.829588045188,
37,People's Park Centre,1.2848558843058,103.842599920236,42.78081822088264
38,People's Park Complex,1.28404487854559,103.842590753293,42.78000325247905
39,Plaza Singapura,1.30082071769235,103.845067272938,39.810759543971905
40,PoMo,1.3002407897925934,103.84930533481248,38.3822484736562
41,Raffles City,1.29350132535558,103.857307495824,39.59191977136207
42,Scotts Square,1.30579942993543,103.833074706219,
43,Shaw House and Centre,1.3062196637219736,103.83189894878696,
44,Sim Lim Square,1.30290658774258,103.853031869482,37.27851799858436
45,Singapore Shopping Centre,1.28649701803051,103.844628721032,42.097836972822876
46,The South Beach,1.29498804392056,103.856276242094,39.59191977136207
