,code,name,opening_year,latitude,longitude,avg_price
0,,Brickland,2030,1.3697,103.7479,26.200216446326856
1,,Sungei Kadut,2030,1.4133,103.7488,22.32736114478766
2,,Punggol Coast,2024,1.41528,103.91111,31.518700056893625
3,,Bukit Brown,TBA,1.333639,103.830075,32.62924835279925
4,,Keppel,2026,1.2701,103.831,35.84967483783561
5,,Cantonment,2026,1.272814,103.836659,36.86591806643125
6,,Prince Edward Road,2026,1.273254,103.847298,42.07656219649094
7,,Sungei Kadut,2030,1.4133,103.7488,22.32736114478766
8,,Hume,2025,1.35465,103.76904,27.577496684928725
9,,Xilin,2025,1.3289,103.9649,
10,,Sungei Bedok,2025,1.32031,103.95709,27.064887242640822
11,,Mount Pleasant,TBA,1.3287,103.8356,32.948800544307055
12,,Marina South,TBA,1.2739,103.863,
13,,Founders,2027,1.2912,103.869229,
14,,Tanjong Rhu,2024,1.29726,103.87345,32.68499922249466
15,,Katong Park,2024,1.297825,103.885331,33.1687654191105
16,,Tanjong Katong,2024,1.2992,103.89769,33.84151539963971
17,,Marine Parade,2024,1.3026301,103.9049619,33.090011787732884
18,,Marine Terrace,2024,1.305985,103.913332,33.090011787732884
19,,Siglap,2024,1.30977,103.928967,28.19750224748907
20,,Bayshore,2024,1.314712,103.943717,29.666365036252966
21,,Bedok South,2025,1.3240389,103.9300361,30.414504119660965
22,,Sungei Bedok,2025,1.32031,103.95709,27.064887242640822
23,,Changi Airport Terminal 5,2040,1.3573722,103.9888361,
24,,Changi Airport,2040,1.3573722,103.9888361,
25,,Expo,2040,1.33528,103.96194,26.188126263016745
26,,Tanah Merah,2040,1.3273583,103.9463444,29.8559067671397
27,,Choa Chu Kang,2027,1.385092,103.744322,23.206494036951614
28,,Choa Chu Kang West,2027,1.385092,103.744322,23.206494036951614
29,,Tengah,2027,1.36633,103.73007,22.708990962612507
30,,Hong Kah,2027,1.35795,103.72586,26.4998379754692
31,,Corporation,2027,1.352948,103.71393,27.40682746477725
32,,Jurong West,2027,1.34919,103.70831,26.83696397604022
33,,Bahar Junction,2027,1.3454222,103.7025417,26.449723830129276
34,,Boon Lay,2027,1.3388833,103.7062083,26.860927174677993
35,,Gek Poh,2027,1.348382,103.697963,25.98349876429129
36,,Tawas,2027,1.35056,103.69185,24.30547174375795
37,,Tengah Plantation,2028,1.35731,103.73342,28.88385164828254
38,,Tengah Park,2028,1.35235,103.73679,28.406340598535483
39,,Bukit Batok West,2028,1.3590306,103.7636806,28.175821316870394
40,,Toh Guan,2028,1.33984,103.7425,28.338257207657964
41,,Jurong East,2028,1.333415,103.742119,28.292595521274826
42,,Jurong Town Hall,2028,1.326,103.746,27.483853506107387
43,,Pandan Reservoir,2028,1.32,103.745,27.0832422483227
44,,Enterprise,2029,1.332678,103.708504,26.62432665204913
45,,Tukang,2029,1.32533,103.70924,25.33651320150941
46,,Jurong Hill,2029,1.31866,103.7102,25.384615384615387
47,,Jurong Pier,2029,1.31315,103.71034,
48,,Nanyang Gateway,2029,1.35369,103.68661,23.31594509313879
49,,Nanyang Crescent,2029,1.34836,103.68085,23.616453935981063
50,,Peng Kang Hill,2029,1.34326,103.67849,24.211518382731324
51,,Haw Par Villa,TBA,1.28278,103.78167,28.240993864285276
52,,Changi Airport Terminal 5,TBA,1.3573722,103.9888361,
53,,Aviation Park,2030,1.36989,104.00314,
54,,Loyang,2030,1.372,103.972,20.621641145156037
55,,Pasir Ris East,2030,1.366,103.961,23.491713671307387
56,,Pasir Ris,2030,1.3724111,103.9493694,23.099538558257073
57,,Tampines North,2030,1.36919,103.93786,25.26694214558324
58,,Defu,2030,1.362243,103.898874,27.236850364608983
59,,Hougang,2030,1.371292,103.892161,26.960949945719978
60,,Serangoon North,2030,1.37067,103.8736,26.469058231727455
61,,Tavistock,2030,1.37004,103.86328,29.425433067831708
62,,Ang Mo Kio,2030,1.37,103.84556,30.268700285549087
63,,Teck Ghee,2030,1.36564,103.84362,30.17697134767612
64,,Bright Hill,2030,1.36384,103.834748,29.59288265248224
65,,Turf City,2032,1.340775,103.794332,25.57878403497435
66,,King Albert Park,2032,1.33583,103.78361,26.507188586429685
67,,Maju,2032,1.328462,103.776993,32.01276990836267
68,,Clementi,2032,1.3153028,103.7652444,33.17755565723157
69,,West Coast,2032,1.31079,103.757828,32.99471009506065
70,,Jurong Lake District,2032,1.327245,103.73908,27.83494248024191
71,,Elias,2032,1.384,103.938,22.468341502319937
72,,Riviera,2032,1.3944389,103.9167722,25.86852853766226
73,,Punggol,2032,1.40528,103.9025,27.341832106133335
